id_indice_precio,cod_muni,municipio,anio,Trimestre,indice_precio
1,051,Medellin,2019,1,88
10,761,Cali,2019,2,92
100,761,Cali,2023,4,128
11,051,Medellin,2019,3,92
12,081,Barranquilla,2019,3,95
13,111,Bogota,2019,3,97
14,131,Cartagena,2019,3,100
15,761,Cali,2019,3,93
16,051,Medellin,2019,4,93
17,081,Barranquilla,2019,4,96
18,111,Bogota,2019,4,98
19,131,Cartagena,2019,4,99
2,081,Barranquilla,2019,1,95
20,761,Cali,2019,4,99
21,051,Medellin,2020,1,96
22,081,Barranquilla,2020,1,98
23,111,Bogota,2020,1,100
24,131,Cartagena,2020,1,98
25,761,Cali,2020,1,100
26,051,Medellin,2020,2,98
27,081,Barranquilla,2020,2,99
28,111,Bogota,2020,2,101
29,131,Cartagena,2020,2,102
3,111,Bogota,2019,1,96
30,761,Cali,2020,2,97
31,051,Medellin,2020,3,98
32,081,Barranquilla,2020,3,99
33,111,Bogota,2020,3,102
34,131,Cartagena,2020,3,94
35,761,Cali,2020,3,101
36,051,Medellin,2020,4,100
37,081,Barranquilla,2020,4,100
38,111,Bogota,2020,4,100
39,131,Cartagena,2020,4,100
4,131,Cartagena,2019,1,100
40,761,Cali,2020,4,100
41,051,Medellin,2021,1,102
42,081,Barranquilla,2021,1,99
43,111,Bogota,2021,1,102
44,131,Cartagena,2021,1,102
45,761,Cali,2021,1,101
46,051,Medellin,2021,2,103
47,081,Barranquilla,2021,2,101
48,111,Bogota,2021,2,104
49,131,Cartagena,2021,2,105
5,761,Cali,2019,1,90
50,761,Cali,2021,2,101
51,051,Medellin,2021,3,107
52,081,Barranquilla,2021,3,104
53,111,Bogota,2021,3,107
54,131,Cartagena,2021,3,105
55,761,Cali,2021,3,102
56,051,Medellin,2021,4,107
57,081,Barranquilla,2021,4,105
58,111,Bogota,2021,4,108
59,131,Cartagena,2021,4,107
6,051,Medellin,2019,2,90
60,761,Cali,2021,4,103
61,051,Medellin,2022,1,108
62,081,Barranquilla,2022,1,106
63,111,Bogota,2022,1,111
64,131,Cartagena,2022,1,109
65,761,Cali,2022,1,106
66,051,Medellin,2022,2,112
67,081,Barranquilla,2022,2,110
68,111,Bogota,2022,2,114
69,131,Cartagena,2022,2,109
7,081,Barranquilla,2019,2,95
70,761,Cali,2022,2,105
71,051,Medellin,2022,3,113
72,081,Barranquilla,2022,3,113
73,111,Bogota,2022,3,116
74,131,Cartagena,2022,3,113
75,761,Cali,2022,3,105
76,051,Medellin,2022,4,117
77,081,Barranquilla,2022,4,111
78,111,Bogota,2022,4,118
79,131,Cartagena,2022,4,109
8,111,Bogota,2019,2,97
80,761,Cali,2022,4,110
81,051,Medellin,2023,1,120
82,081,Barranquilla,2023,1,114
83,111,Bogota,2023,1,121
84,131,Cartagena,2023,1,113
85,761,Cali,2023,1,113
86,051,Medellin,2023,2,125
87,081,Barranquilla,2023,2,118
88,111,Bogota,2023,2,123
89,131,Cartagena,2023,2,120
9,131,Cartagena,2019,2,100
90,761,Cali,2023,2,117
91,051,Medellin,2023,3,131
92,081,Barranquilla,2023,3,122
93,111,Bogota,2023,3,123
94,131,Cartagena,2023,3,127
95,761,Cali,2023,3,122
96,051,Medellin,2023,4,136
97,081,Barranquilla,2023,4,127
98,111,Bogota,2023,4,126
99,131,Cartagena,2023,4,135
